#DYNAMICS.TIME(1stCOL)ANDEVOLVEDCOEFFICIENTSALLTHEBASISVECTORSORDEREDBYINDEXNUMBER

0.0000000000000000 0.99999999999999978+0.0000000000000000j  0.0000000000000000+0.0000000000000000j 

0.20000000000000001 0.95465852515346628-0.22171512657744111j  -4.49438811813229200E-002-0.19351886353251604j 

0.40000000000000002 0.82678570420766517-0.40592949386736810j  -0.17162423729293746-0.34955938908865647j 

0.60000000000000009 0.63936443549771105-0.52191186598795558j  -0.35705911823265701-0.43741274426859195j 

0.80000000000000004 0.42605895901709495-0.55124767780973438j  -0.56758586355737894-0.43868673178074186j 

1.0000000000000000 0.22513622261349386-0.49116215549832015j  -0.76493973503123602-0.35062889219788101j 

1.2000000000000000 7.25561905847791899E-002-0.35501935360935244j  -0.91316360627253301-0.18662552330794602j 

1.3999999999999999 -4.52121758581358613E-003-0.16990699884705357j  -0.98510102176190162+2.62134938149432978E-002j 

1.5999999999999999 7.35989813781284807E-003+2.82567514414603232E-002j  -0.96730016872030333+0.25194795393304686j 

1.7999999999999998 0.10552204428813966+0.20121105834963024j  -0.86244324791537164+0.45229509426065850j 

1.9999999999999998 0.27163823392466069+0.31526315902509916j  -0.68886256988759798+0.59354036951134170j 

2.1999999999999997 0.47504178224205634+0.34737425082334539j  -0.47723075510889884+0.65262335337267852j 

2.3999999999999999 0.67826434522566537+0.28932156800923481j  -0.26502269060717665+0.62129983240268893j 

2.6000000000000001 0.84380219334658135+0.14918510030725882j  -8.97492510683028377E-002+0.50762854163501292j 

2.8000000000000003 0.94088892896960241-5.01095060598201192E-002j  1.78154242535714102E-002+0.33451408251901765j 

3.0000000000000004 0.95105169255841449-0.27492875696615993j  3.91901438972342420E-002+0.13556913105914242j 

3.2000000000000006 0.87144756901385279-0.48700266307171458j  -2.84769228418828568E-002-5.09568983196699854E-002j 

3.4000000000000008 0.71537773628149293-0.65033332961465118j  -0.17189409021453883-0.18908642620347904j 

3.6000000000000010 0.50988651541112584-0.73769329579983711j  -0.36402709841013275-0.25161203142332611j 

3.8000000000000012 0.29087886263001134-0.73554021546493087j  -0.56898161348288068-0.22501111578606814j 

4.0000000000000009 9.66379406437081201E-002-0.64646043306905898j  -0.74848564760428249-0.11188946435972069j 

